#Al,0,1,2,3,4,5,6,8,12,16
,0,5.3,10.6,15.9,21.2,26.5,31.8,42.4,63.6,84.8
Mo,7813,,7171,,6754,6599,6363,6016,5305,4712
Zr,8285,,7470,,6816,,6424,5631,4757,4372
Sr,30048,,26660,,23241,,21153,18871,11075,11995
Se,42848,,33747,,26643,,20995,16997,10747,
Zn,44070,33133,25820,19805,15056,11956,9351,,,
Cu,41270,29874,21614,15482,11747,8477,,,,
Ni,,,,,,,,,,
Co,29223,17874,10638,6614,4305,2576,,,,
Fe,21829,11310,6305,3411,1973,1094,,,,
Ti,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Mo,8.963544292,#NUM!,8.877800394,#NUM!,8.817890201,8.794673401,8.758255243,8.702177866,8.576405051,8.457867725
Zr,9.02220193,#NUM!,8.918650278,#NUM!,8.827028069,#NUM!,8.767796256,8.636042325,8.467372496,8.382975849
Sr,10.31055138,#NUM!,10.19091959,#NUM!,10.05367324,#NUM!,9.959537018,9.845381631,9.312445595,9.392245175
Se,10.66541425,#NUM!,10.4266468,#NUM!,10.19028173,#NUM!,9.952039593,9.740792137,9.282381925,#NUM!
Zn,10.69353456,10.40828504,10.15890466,9.89368971,9.619531862,9.388988523,9.143238568,#NUM!,#NUM!,#NUM!
Cu,10.62789112,10.30474382,9.981096532,9.647433338,9.371353168,9.045111893,#NUM!,#NUM!,#NUM!,#NUM!
Ni,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Co,10.28271135,9.791102422,9.272187775,8.796943894,8.367532417,7.853993087,#NUM!,#NUM!,#NUM!,#NUM!
Fe,9.99099464,9.333442569,8.749098248,8.134760782,7.587310506,6.997595983,#NUM!,#NUM!,#NUM!,#NUM!
Ti,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
,,,,,,,,,,
Al d,,,,,,,,,,
5.3 mg/cm2,,,,,,,,,,
,,,,,,,,,,
Mo5:,6599,,,,,,,,,
